,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity,type,S
71,SPY260213C00717000,2026-01-09 20:28:29+00:00,717.0,2.48,2.18,2.2,0.73,41.714287,18.0,143.0,0.11243563354492186,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
72,SPY260213C00718000,2026-01-09 21:10:26+00:00,718.0,2.0,1.98,2.01,0.28999996,16.959063,25.0,95.0,0.11191683990478514,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
73,SPY260213C00719000,2026-01-09 21:00:09+00:00,719.0,1.86,1.8,1.83,0.39999998,27.397257,83.0,547.0,0.11133701171874999,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
74,SPY260213C00720000,2026-01-09 21:12:53+00:00,720.0,1.63,1.64,1.66,0.29999995,22.556387,1090.0,456.0,0.11072666625976563,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
75,SPY260213C00725000,2026-01-09 21:12:53+00:00,725.0,1.01,1.0,1.02,0.19,23.170732,1844.0,282.0,0.10883459533691406,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
76,SPY260213C00730000,2026-01-09 21:12:05+00:00,730.0,0.61,0.61,0.63,0.13000003,27.08334,258.0,711.0,0.10834631896972656,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
77,SPY260213C00735000,2026-01-09 20:54:23+00:00,735.0,0.4,0.38,0.39,0.050000012,14.285718,57.0,580.0,0.1087125262451172,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
78,SPY260213C00740000,2026-01-09 20:35:11+00:00,740.0,0.27,0.25,0.26,0.050000012,22.727278,63.0,137.0,0.11084873535156249,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
79,SPY260213C00745000,2026-01-09 17:24:15+00:00,745.0,0.19,0.17,0.18,0.0,0.0,30.0,47.0,0.1137783935546875,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
80,SPY260213C00750000,2026-01-09 20:21:34+00:00,750.0,0.15,0.12,0.14,0.010000005,7.1428614,7.0,128.0,0.11841701904296875,False,REGULAR,USD,2026-02-13,EuropeanCall,694.4400024414062
